"","week","wsumAvg","ndoc"
"253",1962-10-31,0,14
"254",1962-11-07,1,21
"255",1962-11-14,2,24
"256",1962-11-21,0,13
"257",1962-11-28,2,18
"258",1962-12-05,0,15
"259",1962-12-12,1,9
"260",1962-12-19,0,9
"261",1962-12-26,0,7
"262",1963-01-02,0,4
"263",1963-01-09,2,10
"264",1963-01-16,3,14
"265",1963-01-23,0,9
"266",1963-01-30,0,7
"267",1963-02-06,1,10
"268",1963-02-13,0,15
"269",1963-02-20,1,7
"270",1963-02-27,0,13
"271",1963-03-06,2,8
"272",1963-03-13,1,14
"273",1963-03-20,2,20
"274",1963-03-27,0,10
"275",1963-04-03,0,10
"276",1963-04-10,0,8
"277",1963-04-17,0,8
"278",1963-04-24,1,7
"279",1963-05-01,0,7
"280",1963-05-08,0,4
"281",1963-05-15,0,8
"282",1963-05-22,0,4
"283",1963-05-29,0,5
"284",1963-06-05,1,4
"285",1963-06-12,0,8
"286",1963-06-19,0,20
"287",1963-06-26,0,17
"288",1963-07-03,0,12
"289",1963-07-10,1,9
"290",1963-07-17,0,10
"291",1963-07-24,0,12
"292",1963-07-31,0,9
"293",1963-08-07,0,14
"294",1963-08-14,1,8
"295",1963-08-21,0,4
"296",1963-08-28,0,1
"297",1963-09-04,1,2
"298",1963-09-11,0,3
"299",1963-09-18,0,7
"300",1963-09-25,0,2
"301",1963-10-02,0,5
"302",1963-10-09,0,7
"303",1963-10-16,1,4
"304",1963-10-23,0,2
"305",1963-10-30,0,2
"306",1963-11-06,0,1
"307",1963-11-13,0,3
