,doc.id,date
562,562-B,9/26/1961
563,563-B,9/26/1961
564,564-B,9/29/1961
565,565-B,9/27/1961
566,566-B,9/30/1961
567,567-B,9/30/1961
568,568-B,9/30/1961
569,569-B,9/28/1961
570,570-B,9/28/1961
571,571-B,9/29/1961
572,572-B,10/2/1961
573,573-B,10/2/1961
574,574-B,10/3/1961
575,575-B,10/3/1961
576,576-B,10/3/1961
577,577-B,10/6/1961
578,578-B,10/3/1961
579,579-B,10/3/1961
580,580-B,10/4/1961
581,581-B,10/4/1961
582,582-B,10/1/1961
583,583-B,10/5/1961
584,584-B,10/4/1961
585,585-B,10/3/1961
586,586-B,10/3/1961
587,587-B,10/3/1961
588,588-B,10/4/1961
589,589-B,9/29/1961
590,590-B,9/27/1961
591,591-B,10/5/1961
592,592-B,10/5/1961
593,593-B,10/5/1961
594,594-B,10/5/1961
595,595-B,10/5/1961
596,596-B,10/5/1961
597,597-B,10/5/1961
598,598-B,10/5/1961
599,599-B,10/6/1961
600,600-B,10/6/1961
601,601-B,10/7/1961
602,602-B,10/6/1961
603,603-B,10/6/1961
604,604-B,10/6/1961
605,605-B,10/6/1961
606,606-B,10/6/1961
607,607-B,9/28/1961
608,608-B,10/6/1961
609,609-B,10/7/1961
610,610-B,10/7/1961
611,611-B,10/7/1961
612,612-B,10/7/1961
613,613-B,10/7/1961
614,614-B,10/9/1961
615,615-B,10/6/1961
616,616-B,10/10/1961
617,617-B,10/10/1961
618,618-B,10/10/1961
619,619-B,10/10/1961
620,620-B,10/10/1961
621,621-B,10/10/1961
622,622-B,10/10/1961
623,623-B,10/10/1961
624,624-B,10/10/1961
625,625-B,10/10/1961
626,626-B,10/10/1961
627,627-B,10/12/1961
628,628-B,10/11/1961
629,629-B,10/11/1961
630,630-B,10/12/1961
631,631-B,10/13/1961
632,632-B,10/12/1961
633,633-B,10/13/1961
634,634-B,10/13/1961
635,635-B,10/13/1961
636,636-B,10/12/1961
637,637-B,10/12/1961
638,638-B,10/11/1961
639,639-B,10/14/1961
640,640-B,10/16/1961
641,641-B,10/16/1961
642,642-B,10/17/1961
643,643-B,10/15/1961
644,644-B,10/15/1961
645,645-B,10/16/1961
646,646-B,10/16/1961
647,647-B,10/19/1961
648,648-B,10/16/1961
649,649-B,10/16/1961
650,650-B,10/16/1961
651,651-B,10/16/1961
652,652-B,10/16/1961
653,653-B,10/16/1961
654,654-B,10/16/1961
655,655-B,10/16/1961
656,656-B,10/21/1961
657,657-B,10/17/1961
658,658-B,10/18/1961
659,659-B,10/18/1961
660,660-B,10/18/1961
661,661-B,10/18/1961
662,662-B,10/18/1961
663,663-B,10/18/1961
664,664-B,10/18/1961
665,665-B,10/18/1961
666,666-B,10/19/1961
667,667-B,10/14/1961
668,668-B,10/14/1961
669,669-B,10/17/1961
670,670-B,10/19/1961
671,671-B,10/19/1961
672,672-B,10/19/1961
673,673-B,10/20/1961
674,674-B,10/18/1961
675,675-B,10/18/1961
676,676-B,10/18/1961
677,677-B,10/20/1961
678,678-B,10/20/1961
679,679-B,10/21/1961
680,680-B,10/22/1961
681,681-B,10/17/1961
682,682-B,10/23/1961
683,683-B,10/21/1961
684,684-B,10/21/1961
685,685-B,10/23/1961
686,686-B,10/21/1961
687,687-B,10/18/1961
688,688-B,10/24/1961
689,689-B,10/24/1961
690,690-B,10/24/1961
691,691-B,10/16/1961
692,692-B,10/16/1961
693,693-B,10/25/1961
694,694-B,10/26/1961
695,695-B,10/26/1961
696,696-B,10/26/1961
697,697-B,10/26/1961
698,698-B,10/26/1961
699,699-B,10/27/1961
700,700-B,10/27/1961
701,701-B,10/30/1961
702,702-B,10/30/1961
703,703-B,10/31/1961
704,704-B,11/1/1961
705,705-B,11/2/1961
706,706-B,11/2/1961
707,707-B,11/2/1961
708,708-B,11/3/1961
709,709-B,11/3/1961
710,710-B,11/5/1961
711,711-B,11/5/1961
712,712-B,11/6/1961
713,713-B,11/6/1961
714,714-B,11/6/1961
715,715-B,11/6/1961
716,716-B,11/6/1961
717,717-B,11/6/1961
718,718-B,11/6/1961
719,719-B,11/4/1961
